Date, Open, High, Low, Close,%Change
08/27/10,1049.27,1065.21,1039.7,1064.59,1.659
08/26/10,1056.28,1061.45,1045.4,1047.22,-0.768
08/25/10,1048.98,1059.38,1039.83,1055.33,0.329
08/24/10,1063.2,1063.2,1046.68,1051.87,-1.451
08/23/10,1073.36,1081.58,1067.08,1067.36,-0.404
08/20/10,1075.63,1075.63,1063.91,1071.69,-0.366
08/19/10,1092.44,1092.44,1070.66,1075.63,-1.694
08/18/10,1092.08,1099.77,1085.76,1094.16,0.148
08/17/10,1081.16,1100.14,1081.16,1092.54,1.219
08/16/10,1077.49,1082.62,1069.49,1079.38,0.012
08/13/10,1082.22,1086.25,1079,1079.25,-0.402
08/12/10,1081.48,1086.72,1076.69,1083.61,-0.538
08/11/10,1116.89,1116.89,1088.55,1089.47,-2.818
08/10/10,1122.92,1127.16,1111.58,1121.06,-0.597
08/09/10,1122.8,1129.24,1120.91,1127.79,0.548
08/06/10,1122.07,1123.06,1107.17,1121.64,-0.370
08/05/10,1125.78,1126.56,1118.81,1125.81,-0.127
08/04/10,1121.06,1128.75,1119.46,1127.24,0.605
08/03/10,1125.34,1125.44,1116.76,1120.46,-0.480
08/02/10,1107.53,1127.3,1107.53,1125.86,2.202
07/30/10,1098.44,1106.44,1088.01,1101.6,0.006
07/29/10,1108.07,1115.9,1092.82,1101.53,-0.416
07/28/10,1112.84,1114.66,1103.11,1106.13,-0.692
07/27/10,1117.36,1120.95,1109.78,1113.84,-0.105
07/26/10,1102.89,1115.01,1101.3,1115.01,1.120
07/23/10,1092.17,1103.73,1087.88,1102.66,0.822
07/22/10,1072.14,1097.5,1072.14,1093.67,2.251
07/21/10,1086.67,1088.96,1065.25,1069.59,-1.282
07/20/10,1064.53,1083.94,1056.88,1083.48,1.142
07/19/10,1066.85,1074.7,1061.11,1071.25,0.598
07/16/10,1093.85,1093.85,1063.32,1064.88,-2.882
07/15/10,1094.46,1098.66,1080.53,1096.48,0.120
07/14/10,1095.61,1099.08,1087.68,1095.17,-0.016
07/13/10,1080.65,1099.46,1080.65,1095.34,1.538
07/12/10,1077.23,1080.78,1070.45,1078.75,0.073
07/09/10,1070.5,1078.16,1068.1,1077.96,0.720
07/08/10,1062.92,1071.25,1058.24,1070.25,0.941
07/07/10,1028.54,1060.89,1028.54,1060.27,3.133
07/06/10,1028.09,1042.5,1018.35,1028.06,0.536
07/02/10,1027.65,1032.95,1015.93,1022.58,-0.466
07/01/10,1031.1,1033.58,1010.91,1027.37,-0.324
06/30/10,1040.56,1048.08,1028.33,1030.71,-1.011
06/29/10,1071.1,1071.1,1035.18,1041.24,-3.102
06/28/10,1077.5,1082.6,1071.45,1074.57,-0.203
06/25/10,1075.1,1083.56,1067.89,1076.76,0.286
06/24/10,1090.93,1090.93,1071.6,1073.69,-1.680
06/23/10,1095.57,1099.64,1085.31,1092.04,-0.299
06/22/10,1113.9,1118.5,1094.18,1095.31,-1.607
06/21/10,1122.79,1131.23,1108.24,1113.2,-0.386
06/18/10,1116.16,1121.01,1113.93,1117.51,0.132
06/17/10,1115.98,1117.72,1105.87,1116.04,0.128
